
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D09VRZ	AZM-131	Obesity	278	E66
D09VSV	PH80-PMD	Acute migraine	346	G43
D09VTB	IDX-320	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D09VTE	Quinolone	Bacterial infection		A00-A79
D09VTS	Dermatological agent	Acne vulgaris	706.1	L70.0
D09VWI	BRX-005	Amyotrophic lateral sclerosis	335.2	G12.2
D09VXM	Crofelemer	HIV-associated diarrhoea		A09
D09VYF	RDEN1delta30	Dengue fever	61	A90
D09VYS	BXL-1H5	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D09VZR	SGI-1252	Cancer	140-229	C00-C96
D09WAY	OPN-501	Inflammatory bowel disease	555, 556	K50, K51
D09WBQ	DSM2	Malaria		B54
D09WCC	MP-0270	Autoimmune diabetes		E08-E13
D09WCE	IS-159	Migraine	346	G43
D09WCM	Spinosad	Head lice	132	B85.0
D09WCN	Intetumumab	Prostate cancer	185	C61
D09WDK	Tbo-Filgrastim	Severe neutropaenia in non-myeloid malignancies	140-239	C00-C96
D09WEJ	Bromopride	Dyspepsia	536.8	K30
D09WFI	Tetramethylpyrazine	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D09WFL	MP-12	Rift valley fever		A92.4
D09WGH	Ropidoxuridine	Cancer	140-229	C00-C96
D09WGU	PEG-VM-501	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
D09WHM	DU-29894	Psychotic disorders	290-299	F20-F29
D09WIM	AviFluCide-I	Influenza virus		J11.1
D09WJT	Toleragens	Autoimmune diabetes		E08-E13
D09WKB	Anisindione	Coagulation		I80-I82
D09WKH	Zosyn/Tazocin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D09WKM	BI-836826	Chronic lymphocytic leukaemia		C91
D09WKT	ARD-412	Premature ejaculation	302.75	F52.4
D09WMV	BMS-753951	Atherosclerosis	414.0, 440	I70
D09WND	TETRAPLATIN TETRANITRATE	Cancer	140-229	C00-C96
D09WNK	Fenfluramine	Obesity	278	E66
D09WNQ	NCTX	Cancer	140-229	C00-C96
D09WOI	NZ-39000	Autoimmune diabetes		E08-E13
D09WOY	SB-559457	Acute myeloid leukemia	205	C92.0
D09WPI	GOVX-B11	Human immunodeficiency virus infection	279.3	B20-B26
D09WPN	AP22408	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D09WRG	CEP-41750	Rheumatoid arthritis	710-719, 714	M05-M06
D09WRI	ELINAFIDE MESILATE	Solid tumours	140-199, 210-229	C00-D48
D09WTQ	RC-8800	Cancer	140-229	C00-C96
D09WUY	TP-104	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D09WVR	FX-107	Dengue fever	61	A90
D09WWB	MenABCWY	Meningococcal infection a c y and w-135		A39.0
D09WYC	Y-26611	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D09WYE	NST-001	Tinnitus		H93.1
D09WYL	GSK-557296	Premature ejaculation	302.75	F52.4
D09WYX	Deflazacort	Duchenne muscular dystrophy		G71.0
D09WZG	Anascorp	Poison intoxication		T36-T50
D09WZU	BCI-838	Alzheimer disease; Major depressive disorder	331, 296.2, 296.3, 710.0	G30, F32, F33, M32
D09WZV	GMA-161	Idiopathic thrombocytopenic purpura	287.31	D69.3
D09XDR	Granulosin	Chronic granulomatous disease	288.1	D71
D09XEM	NGN-9080	Spinal cord injury		S14, S24, S34
D09XFO	Semuloparin	Venous thromboembolism	453	I80-I82
D09XGB	VER 50589	Breast cancer	174, 175	C50
D09XGK	Testetrol	Hypogonadism	257.2	E23.0, E28.3, E29.1
D09XHI	AZD-6538	Gastroesophageal reflux disease	140-229, 530	K21
D09XHQ	TA-CD	Cocaine addiction	304.2	F14.2
D09XHU	HER-2 Protein AutoVac	Breast cancer	174, 175	C50
D09XIZ	JNJ-26481585	Cancer	140-229	C00-C96
D09XKO	KD-101	Metabolic disorders	270-279	E70-E89
D09XKT	KI-1003	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10-I16, I50
D09XKW	Castor oil	Constipation	564	K59.0
D09XLS	FR139317	Hypertension	401	I10-I16
D09XMP	SC-114	Autoimmune diabetes		E08-E13
D09XMX	SaxaDapa FDC	Diabetes	253.5, 588.1	E23.2, N25.1
D09XNZ	CT-2408R	Shock		T79.4
D09XOF	NY-ESO-1 vaccine	Cancer	140-229	C00-C96
D09XOR	Palladium Pd 103	Melanoma	172	C43
D09XPD	GivaRex	Cancer	140-229	C00-C96
D09XPJ	Micacocidin A	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D09XQF	Isoniazid	Tuberculosis	010-018	A15-A19
D09XQF-D0AO5H-D0R9OH	Isoniazid + Sulfamethoxazole + Trimethoprim	Human immunodeficiency virus infection	279.3	B20-B26
D09XQF-D0AO5H-D0R9OH	Isoniazid + Sulfamethoxazole + Trimethoprim	Tuberculosis	010-018	A15-A19
D09XQF-D0G3DL	Isoniazid + Rifampin	Tuberculosis	010-018	A15-A19
D09XQF-D0G3DL-D0XF8W	Isoniazid + Pyrazinamide + Rifampin	Drug induced hepatotoxicity		K71
D09XQF-D0G3DL-D0XF8W	Isoniazid + Pyrazinamide + Rifampin	Pulmonary tuberculosis		A15-A19
D09XQF-D0G9IU	Isoniazid + Rifapentine	Human immunodeficiency virus infection	279.3	B20-B26
D09XQF-D0W0VD	Beta-lapachone + Isoniazid	Non-tuberculous mycobacteria		A31.0
D09XQR	Erythromycin salnacedin	Unspecified		
D09XQU	Tirapazamine	Mild alzheimer disease	331	G30
D09XRD	Comvax	HBV infection	070.2-070.3	B16, B18.0, B18.1
D09XRQ	HCBE-11	Cancer	140-229	C00-C96
D09XSH	Cytoreg	Cancer	140-229	C00-C96
D09XSX	KPT-XXX	Autoimmune diabetes		E08-E13
D09XUB	Viramidine	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D09XUH	GASTRAZOLE	Duodenal ulcers		K25-K27
D09XUY	Icofungipen	Fungal infections	110-118	B35-B49
D09XUY	Icofungipen	Fungal infections	110-118	B35-B49
D09XVQ	PT-14	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
D09XVS	Tc-99m tilmanocept	Melanoma	172	C43
D09XWD	Teprenone	Peptic ulcer	531-534	K25-K27
D09XWT	AZP-03	Metabolic disorders	270-279	E70-E89
D09XXH	VCH-286	Human immunodeficiency virus infection	279.3	B20-B26
D09XXW	Co-2-1068	Epilepsy		G40
D09XYU	XR-12890	Asthma		J45
D09XZB	Gefitinib	Cancer	140-229	C00-C96
D09XZB	Gefitinib	Head and neck cancer	140-149, 140-229	C07-C14, C32-C33
D09XZB	Gefitinib	Urethral cancer; Bladder cancer; Ovarian cancer; Prostate cancer; Breast cancer	140-229, 174, 175, 183, 188	C50, C56, C67
D09XZB-D0H0ND	Gefitinib + Simvastatin	Lung cancer	162	C33-C34
D09XZB-D0JO7Y	Fulvestrant + Gefitinib	ER-positive breast cancer	174, 175	C50
D09XZB-D0N5OV	cetuximab + gefitinib	Non-small cell lung cancer		C33-C34
D09XZB-D0O5WP	Docetaxel + Gefitinib	Metastatic squamous neck cancer with occult primary squamous cell carcinoma		D37
D09XZB-D0O5WP	Docetaxel + Gefitinib	Non-small cell lung cancer		C33-C34
D09XZB-D0R0MW	Gefitinib + Sunitinib	Renal cancer	140-229, 189	C64
D09XZB-D0U5HU-D0Y4GO	Cisplatin + Gefitinib + Pemetrexed	Non-small cell lung cancer		C33-C34
D09XZB-D0W0BF	Anastrozole + Gefitinib	ER-positive breast cancer	174, 175	C50
D09XZB-D0X7HM-D0Y4GO	pemetrexed + carboplatin + gefitinib	Lung adenocarcinoma	162	C33-C34
D09XZL	LX-7101	Glaucoma	365	H40-H42
D09YAS	CYT-013-IL1bQb	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D09YBF	Gamma-tocotrienol	Prostate cancer	185	C61
D09YBZ	CO-12	Mycobacterium tuberculosis infection		A15-A19
D09YDM	Camptothecin	Solid tumours	140-199, 210-229	C00-D48
D09YDO	Quinotolast	Asthma		J45
D09YDQ	STX-107	Autism	299	F84.0
D09YEY	Botulinum toxin type F	Dystonia		G24
D09YGK	Ultragrivak	Influenza virus		J11.1
D09YHI	SX5	Staphylococcus aureus infection		B95.6
D09YHJ	Ivermectin	Intestinal strongyloidiasis due to nematode parasite	127.2	B78
D09YHJ-D0J1MI	Ivermectin + Mebendazole	Parasitic diseases		B89
D09YHL	MKG-02	Diabetes	253.5, 588.1	E23.2, N25.1
D09YJK	BMS-766	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D09YJR	S 18204	Unspecified		
D09YJT	Abilify Maintena	Erythropoietic porphyria		E80.0
D09YNJ	IQP-0410	HIV-1 infection	001-139, 042	B20-B24
D09YOU	MK-0343	Unspecified		
D09YPM	Gene vectors	Genetic disease		Q00-Q99
D09YRA	SSTarbaclofen	Autism; Fragile X syndrome	299, 332, 759.83	F84.0, F02.3, G20, Q99.2
D09YTH	CPU-228	Cardiac failure		I50
D09YTX	Ch14.18,	Neuroblastoma	194.0, 194.5, 194.6, 227.0, 227.5, 227.6, 237.3, 255.6	C74.1, C74.9, C75.4, C75.5, D35.0, D35.5, D35.6, D44.6, D44.7
D09YTY	Osutidine	Duodenal ulcers		K25-K27
D09YUH	Anti-HIV peptides	Human immunodeficiency virus infection	279.3	B20-B26
D09YUK	SS1(dsFv)-PE38	Cancer	140-229	C00-C96
D09YUQ	SR-11237	Cancer	140-229	C00-C96
D09YUS	KRG-3332	Glaucoma	365	H40-H42
D09YVQ	ChondrogenTM	Arthritis	710-719	M00-M25
D09YVX	Etofenamate	Rheumatoid arthritis	710-719, 714	M05-M06
D09YWX	2-quinolines series, Leishmaniasis, DNDi/CDRI/Advinus Therapeutics	Leishmania infection		B55.0
D09YXS	GX-E2	Anemia	280-285	D50-D64
D09YYQ	Aponidin	Autoimmune diabetes		E08-E13
D09ZAV	RG-8803	Diabetic retinopathy	250.5	H36, E10.3, E11.3, E13.3
D09ZBJ	RAGE-immunoglobulin fusion protein	Diabetic macular edema	250, 362.01, 362.07, 362.53, 782.3	E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35.8, R60.9
D09ZCH	HRC-201	Liver cancer	140-229, 155, 203.0	C22
D09ZFF	HRC-101	Blood transfusion		D50-D89
D09ZHZ	Mecobalamin	Anemia	280-285	D50-D64
D09ZIO	Eptifibatide	Acute cardiac ischemic events	410	I21, I22
D09ZIS	Zonisamide	Epilepsy		G40
D09ZIS-D0V4QS	zonisamide sr + olanzapine	Schizophrenia; Schizoaffective disorder; Schizophreniform disorder		F20, F25
D09ZJQ	Seocalcitol	Rickets		E55
D09ZKB	Ad35-GRIN/ENV	Human immunodeficiency virus infection	279.3	B20-B26
D09ZKS	HP-228	Postoperative pain		G89
D09ZKU	DISBA-01	Cancer	140-229	C00-C96
D09ZLZ	RAD-140	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D09ZMV	Votucalis ophthalmic	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D09ZNB	RG7112	Hematological malignancies	200-209	C81-C86
D09ZNL	ChronSeal	Fibrosis	709.2	L90.5
D09ZNQ	Recombinant L-asparaginase	Acute lymphoblastic leukemia	204.0, 556	C91.0
D09ZNS	Paramyxovirus therapy, PiKe	Paramyxovirus infection		A86
D09ZOQ	Incruse Ellipta	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D09ZPN	MK-6892	Atherosclerosis	414.0, 440	I70
D09ZPX	HSR-6071	Asthma		J45
D09ZQN	Dienestrol	Atrophic vaginitis	627.3	N95.2
D09ZQX	SL65.0155	Parkinson's disease	332	G20
D09ZRB	PUR0200	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D09ZSO	Alefacept	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D09ZSY	CI-1012	Acquired immune deficiency syndrome	42	B20
D09ZUM	CR-4892	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D09ZVC	Begacestat	Alzheimer disease	331	G30
D09ZVJ	R-954	Diabetic complication		E08-E13
D09ZVR	MDL-43291	Asthma		J45
D09ZWH	LX2931	Rheumatoid arthritis	710-719, 714	M05-M06
D09ZWI	KUR-521	Back pain	724.5,338,780	M54, G89, R52
D09ZXO	Cilengitide	Rheumatoid arthritis	710-719, 714	M05-M06
D09ZXR	Eluxadoline	Diarrhea-predominant IBS	564.1	K58.0
D09ZXX	Photodynamic immunotherapy	Breast cancer	174, 175	C50
D09ZYW	P53	Cancer	140-229	C00-C96
D09ZZB	EV71 vaccine	Enterovirus infection	001-139	A00-B99
D09ZZF	IPH-41XX	Mycoses		B49
D09ZZW	VX-759	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0A0BK	Cal-1	HIV-1 infection	001-139, 042	B20-B24
D0A0CC	Viperfav	Poison intoxication		T36-T50
D0A0CY	CNDO-109	Cancer	140-229	C00-C96
D0A0EI	MP-0210	Autoimmune diabetes		E08-E13
D0A0FB	ZYOG1	Diabetes	253.5, 588.1	E23.2, N25.1
D0A0FG	NICANARTINE	Atherosclerosis	414.0, 440	I70
D0A0FI	FHT-401	Rheumatoid arthritis	710-719, 714	M05-M06
D0A0FL	Bupivacaine	Anesthesia	338	R20.0
D0A0FL-D0E1WI	marcaine + fentanyl	Postoperative pain; Osteoarthritis		G89, M15-M19, M47
D0A0FL-D0WE3O	bupivacaine + morphine	Vasoplegia		I97.0
D0A0FL-D0X4RN	Bupivacaine + Lidocaine	Local anesthesia		R20.0
D0A0JH	Nafcillin	Arthritis	710-719	M00-M25
D0A0JH-D0B1IV-D0K6MW-D0MB8I-D0Q2AT	Floxacillin + Nafcillin + Oxacillin + Teicoplanin + Vancomycin	Osteomyelitis		M86
D0A0JM	Carotegrast	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0A0MJ	Nerve growth factor	Alzheimer disease	331	G30
D0A0MS	BI 655066	Ankylosing spondylitis	720	M08.1, M45
D0A0MT	KRL-103	Sleep disorders	307.4, 327, 780.5	F51, G47
D0A0MU	FOZIVUDINE TIDOXIL	Human immunodeficiency virus infection	279.3	B20-B26
D0A0NZ	LP-02	Ulcerative colitis	556	K51
D0A0OO	Amprenavir	Human immunodeficiency virus infection	279.3	B20-B26
D0A0SI	BAY 85-8501	Bronchiectasis	494, 748.61	J47, Q33.4
D0A0SK	HPH-116	Human immunodeficiency virus infection	279.3	B20-B26
D0A0SP	Pyrvinium	Worm infections	120-129	B65-B83
D0A0TF	Tc-99m ethylenedicysteine glucosamine	Non-small cell lung cancer		C33-C34
D0A0TI	TgAAC-09	Human immunodeficiency virus infection	279.3	B20-B26
D0A0YZ	PYZD-4409	Leukemia	208.9	C90-C95
D0A0ZX	Glutathionarsenoxide	Human immunodeficiency virus infection	279.3	B20-B26
D0A0ZY	ALD-901	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A1AQ	Rosiglitazone + metformin	Diabetes	253.5, 588.1	E23.2, N25.1
D0A1AS	Palivizumab	Respiratory syncytial virus infection	79.6	B97.4
D0A1CB	Cefepime	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A1DH	Nitrendipine	Hypertension	401	I10-I16
D0A1DT	ICI-245991	Atherosclerosis	414.0, 440	I70
D0A1FB	RPA gene based adenovirus 4 vector vaccine	Anthrax	22	A00-B99
D0A1FG	MTL-005	Cancer	140-229	C00-C96
D0A1GJ	CY-9652	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0A1GR	CALAA-01	Solid tumours	140-199, 210-229	C00-D48
D0A1IL	VAL-083	Acute myeloid leukemia; Grade IV malignant glioma	205, 191	C92.0, C71
D0A1KP	SWT-05105	Vitiligo	709.01	L80
D0A1KR	JTK-652	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0A1KU	PF-3274167	Female sexual dysfunction	302.7	F52
D0A1LS	Genz-644282	Solid tumours	140-199, 210-229	C00-D48
D0A1MK	HL-027	Parkinson's disease	332	G20
D0A1MX	Bapineuzumab	Alzheimer disease	331	G30
D0A1NU	ABT-279	Type 2 diabetes	250	E11
D0A1PS	PRT-105	Poison intoxication		T36-T50
D0A1PX	Flurbiprofen	Rheumatoid arthritis	710-719, 714	M05-M06
D0A1QC	Heparan sulfate	Angiogenesis disorder		I00-I99
D0A1RP	18F-fluorothymidine	Breast cancer	174, 175	C50
D0A1TK	VALERGEN-DS (sublingual)	Asthma		J45
D0A1UL	RQ-00203078	Neuropathic pain	356.0, 356.8	G64, G90.0
D0A1VL	AR-R-1589	Obesity; Eating disorders	278, 307.5	E66, F50
D0A1VS	Safflower Oil	Providing calories		E46
D0A1WN	PF-03715455	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0A1XS	Colfosceril palmitate	Respiratory distress syndrome	518.5, 518.82	J80
D0A1XU	EVP-6308	Schizophrenia	295	F20
D0A1ZQ	SU-6668	Advanced solid tumor	140-199	C00-C75, C7A, C7B
D0A2AD	Prodrug antibiotics	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A2AJ	Arglabin	Cancer	140-229	C00-C96
D0A2BK	KM-391	Autism	299	F84.0
D0A2BO	S-110	Acute myeloid leukemia	205	C92.0
D0A2BS	SelG2	Sickle-cell disease	282.6	D57
D0A2GM	Heparin Calcium	Coagulation		I80-I82
D0A2HK	Beta-catenin/Tcf-4 pathway inhibitors	Colorectal cancer	153, 154	C18-C21
D0A2HR	Silver nitrate	Chlamydia infection		A74.9
D0A2HS	T-3.5	Malaria		B54
D0A2IH	KU-1257	Duodenal ulcers		K25-K27
D0A2IK	NPS-846	Cerebrovascular ischaemia	434.91	I61-I63
D0A2KH	TRK-170	Inflammatory bowel disease	555, 556	K50, K51
D0A2MA	FR-104	Autoimmune diabetes		E08-E13
D0A2NH	IDEC-131	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
D0A2OW	Otenzepad	Heart failure	428	I50
D0A2PA	IMF-001	NY-ESO-1 antigen-expressing solid tumors	140-199	C00-C75, C7A, C7B
D0A2RA	TAK-491	Hypertension	401	I10-I16
D0A2RF	KI-0906	Arthritis	710-719	M00-M25
D0A2RG	Conjugated estrogens a	Hormone replacement therapy	V07.4	Z79.890
D0A2TJ	PBOX-15	Cancer	140-229	C00-C96
D0A2UV	Ustekinumab	Crohn's disease; Inflammatory bowel disease	555, 556	K50, K51
D0A2UV	Ustekinumab	Moderate-to-severe plaque psoriasis	696	L40
D0A2UV	Ustekinumab	Psoriasis	696	L40
D0A2VZ	D-3252	Sars coronavirus infection		J12.81
D0A2WE	Syntocinon nasal spray	Lactation failure		O92.3
D0A2XD	TAK-065	Alzheimer disease	331	G30
D0A2XV	HL-162	Hyperlipidaemia	272.0-272.4	E78
D0A2ZX	Metronidazole	Amebiasis	6	A06
D0A2ZX	Metronidazole	Crohn's disease	555	K50
D0A2ZX-D0C4YC	metronidazole + mesalamine	Healthy volunteers		
D0A2ZX-D0F6EO	metronidazole + amoxicillin	Chronic periodontitis; Clinical and microbiological effects		K05.4
D0A2ZX-D0F6EO-D0Z1ZM	Amoxicillin + Clarithromycin + Metronidazole	Helicobacter pylori infection	41.86	B96.81
D0A2ZX-D0PH5Z	Ceftazidime + Metronidazole	Complicated intra-abdominal infections		A00-B99
D0A2ZX-D0S3EM	caz-avi + metronidazole	Healthy volunteers		
D0A2ZX-D0Y2IE	cefuroxime + metronidazole	Infection prophylaxis in colorectal surgery		A00-B99
D0A3AB	NCY-118	Septic shock	785.52	A41.9
D0A3AJ	4SC-301	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0A3CL	AZD1979	Obesity	278	E66
D0A3CW	Oleylphosphocholine	Leishmania infection		B55.0
D0A3EA	Mu5B3	HCV infection		B17.1, B18.2
D0A3ES	OX-51	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A3EX	GRC-15300	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A3FQ	Rabies vaccine	Rabies virus infection	001-139	A00-B99
D0A3FZ	Rilimogene galvacirepvec	Prostate cancer	185	C61
D0A3HB	Propofol	Anesthesia	338	R20.0
D0A3HB	Propofol	Unspecified		
D0A3HB-D0T5OX	Propofol + Remifentanil	Hypothermia; General anesthesia	338	R68, T68, R20.0
D0A3HB-D0T5OX	Propofol + Remifentanil	Spinal puncture		G97.1
D0A3HB-D0U6LM	Midazolam + Propofol	Chronic alcoholism		F10
D0A3HB-D0U6LM	Midazolam + Propofol	Nonanesthesiologist moderate sedation in colonoscopy		
D0A3HB-D0W6ZF	Propofol + Sevoflurane	Cardiac on-pump surgery		
D0A3HB-D0W6ZF	Propofol + Sevoflurane	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A3HF	VE-16084	Rheumatoid arthritis	710-719, 714	M05-M06
D0A3HQ	Antibiotics	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A3JC	DNA vaccines	Chronic lymphocytic leukaemia		C91
D0A3JJ	Pentacea	Small-cell lung cancer	162.9	C33-C34
D0A3NN	Aroplatin	Solid tumours	140-199, 210-229	C00-D48
D0A3OA	TGX-003	Bone disease		M00-M99
D0A3OF	GMC-283	Schizophrenia	295	F20
D0A3OS	FLUINHIBIT	Influenza virus		J11.1
D0A3PF	TVX-001	Influenza virus		J11.1
D0A3SQ	3-benzofuran-2-yl-2-benzothiazol-2-yl-3-oxo-propanenitrile	Melanoma; Glioma	172, 191	C43, C71
D0A3SX	PTHr pepducins	Endocrine disease		E00-E35
D0A3VX	Glucocorticoid mimetics	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0A3WN	Synthetic surfactants	Respiratory distress syndrome	518.5, 518.82	J80
D0A3WQ	Org-36764	Unspecified		
D0A3WZ	KBRV-201	Respiratory syncytial virus infection	79.6	B97.4
D0A3XA	CNS-1169	Schizophrenia	295	F20
D0A3ZU	Pomalidomide	Systemic sclerosis	710.1	M34
D0A3ZU-D0GY5Z-D0IT2G	Aspirin + Dexamethasone + Pomalidomide	Multiple myeloma	203	C90
D0A3ZU-D0IT2G	Dexamethasone + Pomalidomide	Multiple myeloma	203	C90
D0A4BR	Aurothioglucose	Arthritis	710-719	M00-M25
D0A4DP	LCS 16	Alzheimer disease; Contraception	331	G30, Z30
D0A4FE	OS-320	Parkinson's disease	332	G20
D0A4HD	Allotrap-2702	Transplant rejection	279.5, 996	D89.8, T86
D0A4IJ	Abacavir	Human immunodeficiency virus infection	279.3	B20-B26
D0A4IJ-D0H3WI-D0Y8OK	Abacavir + Peginterferon alfa-2a + Ribavirin	HIV-infected patients with chronic hepatitis C		B17.1, B18.2
D0A4JB	JDP-202	Hypertension	401	I10-I16
D0A4JI	NanoDisks	Brain injury		S09.90
D0A4JK	Butabarbital	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D0A4KP	Tuberculosis therapeutics	Mycobacterium tuberculosis infection		A15-A19
D0A4MI	KPC-34	Cancer	140-229	C00-C96
D0A4OT	TAMOLARIZINE HYDROCHLORIDE	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D0A4RF	compound 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A4SU	WinRho SDF	Autoimmune diabetes		E08-E13
D0A4TU	MEDI-545	Systemic lupus erythematosus	710	M32
D0A4UC	GS-6615	Ischemic heart diseases	410-414	I20-I25
D0A4UW	BAY-86-7548	Cancer	140-229	C00-C96
D0A4VI	AZD-2914	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0A4VJ	CYT-500	Prostate cancer	185	C61
D0A4VW	TP-110	Multiple myeloma	203	C90
D0A4WA	OTS167	Solid tumours	140-199, 210-229	C00-D48
D0A4WL	Creaferon	Hepatitis virus infection	573.3	K75.9
D0A4XJ	SU5402	Multiple myeloma	203	C90
D0A4XN	PRS-639058	Neuropathic pain	356.0, 356.8	G64, G90.0
D0A4YE	Sulfaphenazole	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A4YK	PBI-05204	Cancer	140-229	C00-C96
D0A4ZZ	OHR/AVR118	Cachexia	799.4	R64
D0A5BJ	EndoAngio-GT	Cancer	140-229	C00-C96
D0A5CH	Integrin alpha-V/beta-3 receptor mab	Atherosclerosis	414.0, 440	I70
D0A5CL	ABI-200	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	
D0A5CM	Trolamine salicylate	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A5CU	Ro-24-1882	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A5CZ	DW-403	Asthma		J45
D0A5DJ	Pancrecarb	Pancreatic disease		K85-K86
D0A5EF	GW-427353	Urinary incontinence	788.3	N39.3, N39.4, R32
D0A5EN	AMG-714	Rheumatoid arthritis	710-719, 714	M05-M06
D0A5FM	Nitric Oxide	Cancer	140-229	C00-C96
D0A5FM	Nitric Oxide	Respiratory failure	518.81	J96
D0A5HC	RV-568	Asthma		J45
D0A5HS	Pain therapeutic	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0A5IL	18F-NST-ML-10	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D0A5IN	NP-001	Amotrophic lateral sclerosis		G12.21
D0A5JP	Iopanoic acid	Vascular disease	325, 430-459	G45-G46, I60-I95
D0A5KF	IPN-120	Influenza virus		J11.1
D0A5KO	TD-3633	Bladder cancer	188	C67
D0A5KS	Hemoxin (Niprisan)	Anemia	280-285	D50-D64
D0A5LH	Penicillin G Procaine	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A5MC	MLN8054	Solid tumours	140-199, 210-229	C00-D48
D0A5MD	PHA-568487	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D0A5MI	LANIQUIDAR	Cancer	140-229	C00-C96
D0A5NL	HS-HIV	Human immunodeficiency virus infection	279.3	B20-B26
D0A5NN	ECO-0501	Enterococcus faecalis infection		B95.2
D0A5OG	ReN-002	Insulin dependent diabetes		E10
D0A5PM	PPRT-550	Premenstrual syndrome		N94.3
D0A5RD	Radafaxine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D0A5SA	TAK-272	Type 2 diabetes	250	E11
D0A5SE	Febuxostat	Hyperuricaemia in gout	274, 790.6	E79.0, M10
D0A5SJ	B-cell lymphoma vaccine	Indolent follicular lymphoma	202.0, 202.8	C81-C86, C82
D0A5SR	Lenapenem hydrochloride hydrate	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0A5TM	SGB-1534	Hypotension	458, 796.3	I95
