4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
iodoproxyfan	HRH3
kainate	GABRA1
kainate	GRIA1
kainate	GRIK1
kainate	GABRA2
kainate	ADORA3
kainate	GABRB2
ingenol-3-bezoate	PRKCD
2h-chromeno[2,3-d]pyrimidine-2,4(3h)-dione	SIRT1
dihydroergocristine	ADRA2C
c[yydeklee]-nh2	FLT1
isosorbide-2-benzylcarbamate-5-(o-toluate)	BCHE
losoxantrone	TOP2A
losoxantrone	TOP2B
3-methylfentanyl	OPRK1
3-methylfentanyl	OPRD1
3-methylfentanyl	OPRM1
snap-94847	ADRA1A
snap-94847	DRD2
6-(3-chloro-benzenesulfonyl)-2h-pyridazin-3-one	AKR1B1
4-(mesitylthio)-2-methoxybenzonitrile	AR
n,n'-(1',3'-propylene)-bis-(-)-nor-mep	BCHE
ns5818	CLCN7
skf89976a	SLC6A1
volatile anesthetics	CHRNA2
volatile anesthetics	CHRNA3
volatile anesthetics	CHRNB2
px-867	PIK3CG
phosphoaminophosphonic acid-adenylate ester	IGF1R
phosphoaminophosphonic acid-adenylate ester	MAPK10
phosphoaminophosphonic acid-adenylate ester	TOP2B
phosphoaminophosphonic acid-adenylate ester	EPHA2
phosphoaminophosphonic acid-adenylate ester	GSK3B
phosphoaminophosphonic acid-adenylate ester	RAD51
phosphoaminophosphonic acid-adenylate ester	TOP2A
phosphoaminophosphonic acid-adenylate ester	EPHB2
phosphoaminophosphonic acid-adenylate ester	LCK
phosphoaminophosphonic acid-adenylate ester	MAPK12
isis 114372	NCOA4
cs-204	PPARD
cs-204	PPARG
cs-204	PPARA
(r)-mesopram	PDE4B
7-bromo-4,9-dihydro-3h-beta-carboline	MAOA
7-bromo-4,9-dihydro-3h-beta-carboline	MAOB
(r)-(-)-10-methyl-11-hydroxyaporphine	HTR1A
(r)-(-)-10-methyl-11-hydroxyaporphine	DRD2
(r)-(-)-10-methyl-11-hydroxyaporphine	DRD1
spd-556	AVPR2
2-fluorophenyl 4-(heptyloxy)phenylcarbamate	FAAH
5-[5-bromo-indan-(1e)-ylidenemethyl]-1h-imidazole	CYP19A1
5-[5-bromo-indan-(1e)-ylidenemethyl]-1h-imidazole	CYP11B1
salsalate	PTGS2
salsalate	PTGS1
ompt	LPAR3
iowh032	CFTR
6-(naphthalene-2-sulfonyl)-2h-pyridazin-3-one	AKR1B1
2-(1h-benzo[d]imidazol-2-yl)quinoxaline	ADORA2A
2-(1h-benzo[d]imidazol-2-yl)quinoxaline	ADORA3
2-(1h-benzo[d]imidazol-2-yl)quinoxaline	ADORA1
16beta-cyano-estradiol	HSD17B1
(2-indol-1-yl-ethyl)-dimethyl-amine	HTR2A
insulin-glulisine	INSR
3-(2,3-dihydro-1,4-benzodioxin-6-yl)pyridine	CYP11B1
human prothrombin complex concentrate	F2
ads-103274	MCHR1
ads-103274	HTR2B
h-poa-ser-gly-phe-leu-thr-oh	OPRD1
lintitript	CCKAR
n,n-dimethyl-2-(2'-methylbiphenyl-3-yl)ethanamine	HTR7
[3-(5-phenyl-oxazol-2-ylamino)-phenyl]-methanol	KDR
[3-(5-phenyl-oxazol-2-ylamino)-phenyl]-methanol	FLT4
[3-(5-phenyl-oxazol-2-ylamino)-phenyl]-methanol	FLT1
n-phenyl-1h-pyrazole-3-carboxamide	CDK2
(z)-2-(1-decyl-2-oxoindolin-3-ylidene)acetic acid	CDC25A
[3h]dizocilpine	GRIN2C
[3h]dizocilpine	GRIN2A
[3h]dizocilpine	GRIN1
[3h]dizocilpine	GRIN2D
[3h]dizocilpine	GRIN2B
(r)-1-(4-nitrophenethyl)-2-methylpyrrolidine	HRH3
dihydroergocryptine	HTR7
dihydroergocryptine	HTR2B
olaratumab	PDGFRA
adl-5859	OPRD1
ana-975	TLR7
(2'z,3'e)-5-nitro-5'-hydroxy-indirubin-3'-oxime	CCNE1
(2'z,3'e)-5-nitro-5'-hydroxy-indirubin-3'-oxime	CDK2
bms-193885	NPY1R
2-((3-iodophenyl)(o-tolyloxy)methyl)morpholine	SLC6A2
2-((3-iodophenyl)(o-tolyloxy)methyl)morpholine	SLC6A3
nintedanib	FLT1
nintedanib	FGFR2
nintedanib	FLT4
nintedanib	KDR
nintedanib	FGFR3
nintedanib	FGFR1
4-methoxy-n-(3-phenyl-isoquinolin-1-yl)-benzamide	ADORA3
4-methoxy-n-(3-phenyl-isoquinolin-1-yl)-benzamide	ADORA1
compound 2d	HMGCR
compound 2d	FDFT1
5,7-diphenyl-7h-pyrrolo[2,3-d]pyrimidin-4-ol	SRC
n-(4-m-tolylamino-quinazolin-6-yl)-acrylamide	EGFR
n-(4-m-tolylamino-quinazolin-6-yl)-acrylamide	ERBB2
6-methoxy-1,2-dimethyl-9h-beta-carbolin-2-ium	BCHE
6-methoxy-1,2-dimethyl-9h-beta-carbolin-2-ium	ACHE
hl-018	FFAR2
menotropins	LHCGR
menotropins	FSHR
2-hydroxy capric acid	GPR84
3-(4-phenyl-piperidin-1-ylmethyl)-1h-indole	DRD2
3-(4-phenyl-piperidin-1-ylmethyl)-1h-indole	DRD3
3-(4-phenyl-piperidin-1-ylmethyl)-1h-indole	DRD4
angiotensin iii	AGTR2
angiotensin iii	AGTR1
4-amino-1,8-naphthalimide	PARP1
n-(4-m-tolylamino-quinazolin-7-yl)-acrylamide	EGFR
gnf-pf-2322	MCHR1
chi lob 7/4	CD40LG
alpha-methyl-4-biphenyl-acetic acid	PTGS1
5-hydroxy-2-(pentylthiomethyl)-4h-pyran-4-one	TYR
n-hydroxy-n-methyl-3-phenanthren-9-yl-acrylamide	ALOX5
ocv-101	FLT1
ati-355	RTN4
vinburnine	CHRM1
vinburnine	CHRM3
4-[3-(4-fluorophenyl)-1h-pyrazol-4-yl]pyridine	MAPK14
3-butyl-2,3,4,5-tetrahydro-1h-benzo[d]azepin-6-ol	HTR1A
3-butyl-2,3,4,5-tetrahydro-1h-benzo[d]azepin-6-ol	DRD2
s-(n-propyl-n-hydroxycarbamoyl)glutathione	GLO1
(s)-dhpa	ADORA2A
d[d-3-pal2]avp	AVPR1B
d[d-3-pal2]avp	AVPR2
d[d-3-pal2]avp	AVPR1A
2-(n-tert-butylamino)-3',4'-dichloropropiophenone	SLC6A2
2-(n-tert-butylamino)-3',4'-dichloropropiophenone	SLC6A4
2-(n-tert-butylamino)-3',4'-dichloropropiophenone	SLC6A3
gw9578	PPARA
dp-802	MAPK14
loratadine	HRH1
l748328	ADRB3
cp-461	PDE2A
4-(2-pyridin-2-ylacetamido)benzenesulfonamide	CA2
4-(2-pyridin-2-ylacetamido)benzenesulfonamide	CA1
2-trityl-4,5-dihydrooxazole	KCNN4
2-trityl-4,5-dihydrooxazole	KCNMA1
abt-869	FLT4
sar-3419	CD19
1-propyl-3-(3-trifluoromethyl-phenyl)-pyrrolidine	HTR1A
1-propyl-3-(3-trifluoromethyl-phenyl)-pyrrolidine	DRD2
1-propyl-3-(3-trifluoromethyl-phenyl)-pyrrolidine	DRD3
1-propyl-3-(3-trifluoromethyl-phenyl)-pyrrolidine	HTR2A
hydroxychloroquine	TLR9
hydroxychloroquine	TLR7
bio-1211	ITGA4
[125i]div880	MTNR1A
pargyline	MAOB
azithromycin-n-benzyltriazolyloctahydroxamic acid	HDAC8
azithromycin-n-benzyltriazolyloctahydroxamic acid	HDAC1
pd-151307	CACNA1B
uk-356618	MMP9
uk-356618	MMP3
uk-356618	MMP13
uk-356618	MMP2
uk-356618	MMP14
clr-1404	PIK3CG
azd-5438	CDK2
filgrastim-sndz	CSF3R
filgrastim-sndz	CSF1R
pc-dac:insulin	INS
oms405	PPARG
arachidonic acid	PTGS1
aminobenztropine	CHRM1
aminobenztropine	SLC6A3
galmic	GALR3
6-bromo-3-ethoxycarbonyl-4-quinolone	GABRA1
6-bromo-3-ethoxycarbonyl-4-quinolone	GABRA3
6-bromo-3-ethoxycarbonyl-4-quinolone	GABRG2
6-bromo-3-ethoxycarbonyl-4-quinolone	GABRB2
flosulide	PTGS2
n,n-dimethyl-4,4-diphenylbutan-1-amine	HRH1
n,n-dimethyl-4,4-diphenylbutan-1-amine	HTR2A
abt-874	IL12B
isorhamnetin 3,7-disulfate	AKR1B1
protriptyline	SLC6A2
protriptyline	SLC6A4
prx00933	HTR2C
4-(3,5-dichlorobenzylthio)-2-aminobutanoic acid	CACNA2D1
4-(3,5-dichlorobenzylthio)-2-aminobutanoic acid	CACNG1
howiinol a (ghm-10)	TOP2A
howiinol a (ghm-10)	TOP2B
iobenguane i-123 - ge healthcare	SLC6A2
3-methyl-7-pyrrolidin-1-yl-hept-5-yn-2-one	CHRM2
3-methyl-7-pyrrolidin-1-yl-hept-5-yn-2-one	CHRM1
3-methyl-7-pyrrolidin-1-yl-hept-5-yn-2-one	CHRM4
3-methyl-7-pyrrolidin-1-yl-hept-5-yn-2-one	CHRM3
seletracetam	CACNA1B
seletracetam	SV2A
4-nitrophenyl phosphate	CA2
4-nitrophenyl phosphate	CA1
argatroban	F2
(r)-norfluoxetine	SLC6A2
(r)-norfluoxetine	SLC6A4
(r)-norfluoxetine	SLC6A3
cgs-23885	ALOX5
t-588	SLC18A3
raf265	KDR
3-hydroxy-6-methyl-1h-benzo[b]azepine-2,5-dione	GRIN2A
3-hydroxy-6-methyl-1h-benzo[b]azepine-2,5-dione	GRIN1
3-hydroxy-6-methyl-1h-benzo[b]azepine-2,5-dione	GRIN2B
2-hexadecynoic acid	FASN
nn5401	INSR
4-propyl-3,4-dihydroquinazolin-2-amine	HTR5A
2-(3''(5''-chloro-indolyl)ethyloxy)adenosine	ADORA2A
2-(3''(5''-chloro-indolyl)ethyloxy)adenosine	ADORA3
2-(3''(5''-chloro-indolyl)ethyloxy)adenosine	ADORA1
1-(3-chlorophenyl)-2-(dimethylamino)propan-1-one	SLC6A2
1-(3-chlorophenyl)-2-(dimethylamino)propan-1-one	SLC6A3
[3h]l158809	AGTR1
cyproterone acetate	AR
altiratinib	MET
altiratinib	KDR
altiratinib	TEK
compound 15b	CAMK2A
compound 15b	TGFBR1
compound 15b	CAMK2D
compound 15b	CAMK2B
compound 15b	CAMK2G
compound 15b	ACAT1
compound 15b	TGFBR2
compound 15b	MAP3K20
moexiprilat	ACE
ly-292223	PIK3CG
ly-292223	ACE
ly-292223	PIK3CD
ly-292223	ECE1
ly-292223	PRKDC
ly-292223	PIK3CB
bph-608	GGPS1
2-methoxy-4-(p-tolyloxy)benzonitrile	AR
suvn-502	HTR6
bip-tyr-thr-pro-ala-thr(obzl)-gly	SLC6A3
territrem b	ACHE
insulin-glargine	INS
cyclic cmp	HCN2
1,6-bis(4-(pyridin-2-yl)piperazin-1-yl)hexane	HTR1A
1,6-bis(4-(pyridin-2-yl)piperazin-1-yl)hexane	DRD2
1,6-bis(4-(pyridin-2-yl)piperazin-1-yl)hexane	HTR2A
erythrityl tetranitrate	NPR1
erythrityl tetranitrate	NPR2
azd5658	GCK
cs-0777	S1PR1
iva-his-pro-phe-his-ahppa-leu-phe-nh2	REN
citatuzumab bogatox	EPCAM
r-1487	MAPK14
n-(4-iodophenyl)-n'-(17-methylmorphinan-3-yl)urea	OPRK1
n-(4-iodophenyl)-n'-(17-methylmorphinan-3-yl)urea	OPRD1
n-(4-iodophenyl)-n'-(17-methylmorphinan-3-yl)urea	OPRM1
bnv-222	AKR1B1
zenarestat	AKR1B1
compound 6d	FDFT1
n-(5-methanesulfonyl-2-methyl-benzoyl)-guanidine	SLC9A1
n-(5-methanesulfonyl-2-methyl-benzoyl)-guanidine	SLC9A3
arc239	ADRA2C
tok-001	AR
6,7-dimethoxy-3-(4-nitro-phenyl)-quinoline	PDGFRA
6,7-dimethoxy-3-(4-nitro-phenyl)-quinoline	PDGFRB
lhd-4	SERPINC1
tebufelone	PTGS2
tebufelone	PTGS1
tebufelone	ALOX5
bis(31/31')[[cys(31), nva(34)]npy(27-36)-nh(2)]	NPY5R
6,7-dimethoxy-3-(4-methoxy-phenyl)-quinoline	PDGFRA
6,7-dimethoxy-3-(4-methoxy-phenyl)-quinoline	PDGFRB
l-162234	AGTR2
compound 24d	GRM5
nktr-181	OPRM1
4-cyano-n-(1,3-diphenyl-1h-pyrazol-5-yl)benzamide	GRM5
6-pyridin-3-yl-naphthalen-2-ol	CYP17A1
6-pyridin-3-yl-naphthalen-2-ol	CYP11B1
1,2,3,4,6-penta-o-galloyl-beta-d-glucose	XDH
1,2,3,4,6-penta-o-galloyl-beta-d-glucose	F2
1,2,3,4,6-penta-o-galloyl-beta-d-glucose	SQLE
1,2,3,4,6-penta-o-galloyl-beta-d-glucose	F10
pf9601n	MAOB
(3-methyl-4-(4-phenoxybenzoyl)phenyl)acetic acid	SRD5A2
(3-methyl-4-(4-phenoxybenzoyl)phenyl)acetic acid	SRD5A1
jnj-26529152	ESR1
4-(4-cyanophenoxy)-3-pyridinesulfonamide	CA12
4-(4-cyanophenoxy)-3-pyridinesulfonamide	CA2
4-(4-cyanophenoxy)-3-pyridinesulfonamide	CA1
4-(4-cyanophenoxy)-3-pyridinesulfonamide	CA9
3-deoxyguanosine	PNP
4-hydrazino-benzenesulfonamide	CA6
4-hydrazino-benzenesulfonamide	CA1
4-hydrazino-benzenesulfonamide	CA9
4-hydrazino-benzenesulfonamide	CA2
4-hydrazino-benzenesulfonamide	CA4
4-hydrazino-benzenesulfonamide	CA12
morab-022	CSF2
azd-5106	TACR2
cb-1922	NR3C2
3-(4-methanesulfonyl-phenyl)-1-phenyl-propynone	PTGS2
3-(4-methanesulfonyl-phenyl)-1-phenyl-propynone	PTGS1
sodium trithiocarbonate	CA4
sodium trithiocarbonate	CA2
sodium trithiocarbonate	CA1
neurotensin(8-13)	NTSR1
va-106483	AVPR2
gr94800	TACR2
adoc(beta-ala)arg6	PRKAR1A
adoc(beta-ala)arg6	PRKAR2B
2-methoxyapomorphine	DRD2
2-methoxyapomorphine	DRD1
4-formylphenyl-o-beta-dglucopyranoside	ACHE
5-biphenyl-4-ylethynyl-pyrimidine	GRM5
n-hydroxybenzo[b]thiophene-2-carboxamide	HDAC1
n-propargyl-1h-pyrrole-2-carboxamide	MAOA
apr19	PGR
bly719	PIK3CA
atl1103	GHR
ar-534	GSK3A
4,4-diphenyl-n-(pyridin-3-yl)-butyramide	EPHX2
4-[5-methoxy-indan-(1z)-ylidenemethyl]-pyridine	CYP19A1
immune globulin human	FCGR3A
immune globulin human	FCGR1A
immune globulin human	C4A
immune globulin human	C5
immune globulin human	FCGR1B
immune globulin human	FCGR3B
immune globulin human	FCGR2A
immune globulin human	FCGR2C
immune globulin human	C4B
immune globulin human	FCGR2B
immune globulin human	C3
ag-014376	PARP1
1-(2-dimethylamino-ethyl)-1h-indol-4-ol	HTR2C
sdz-cpi-975	CPT1A
sdz-cpi-975	CPT1B
3-(2,3-dimethyl-phenyl)-piperidine	DRD2
zadaxin/lamivudine	TLR9
zadaxin/lamivudine	IFNAR1
mimovax	APP
h-c[cys-phe-dtrp-lys-thr-cys]-oh	SSTR2
n-(1-((cyanomethyl)carbamoyl)cyclohexyl)benzamide	CTSK
2-(2-chlorophenyl)-2h-indazole-7-carboxamide	PARP1
cibacron blue	HPGDS
1,1,1,3-tetrafluoro-6-phenylhexan-2-one	PLA2G4A
jwh-146	CNR1
jwh-146	CNR2
acp-106	HTR2A
anagliptin	DPP4
abt-263	BCL2L2
abt-263	BCL2L1
abt-263	BCL2
2,3,4,11-tetrahydro-1h-benzo[a]carbazole	KIF11
lauryl dimethylamine-n-oxide	RHO
lauryl dimethylamine-n-oxide	MAOB
lauryl dimethylamine-n-oxide	DHODH
rauwolfia serpentina root	SLC18A2
rauwolfia serpentina root	CACNA1C
9-(2-aminopropyl)-9,10-dihydroanthracene	HRH1
9-(2-aminopropyl)-9,10-dihydroanthracene	HTR2A
4-(3'-furyl)-aniline	SLC6A2
d-gluconhydroximo-1,5-lactam	LCT
(-)-(s)-bayk8644	CACNA1C
(-)-(s)-bayk8644	CACNA1D
(-)-(s)-bayk8644	CACNA1F
(-)-(s)-bayk8644	CACNA1S
i-309	CCR8
research programme: erythropoietin oral - hanall biopharma	EPO
compound 15 (hay et al., 2013)	BRD4
(s)-1-(2-methoxyphenethyl)-2-methylpyrrolidine	HRH3
h-8	CNGA1
ym-430	ADRB3
nci-159878	LIPE
flavoxate	CHRM2
flavoxate	CHRM1
flavoxate	CHRM4
intoplicine	TOP1
6-(2-bromo-acetylamino)-hexanoic acid phenylamide	HDAC1
6-(2-bromo-acetylamino)-hexanoic acid phenylamide	HDAC6
6-(2-bromo-acetylamino)-hexanoic acid phenylamide	HDAC4
6-(2-bromo-acetylamino)-hexanoic acid phenylamide	HDAC8
6-(2-bromo-acetylamino)-hexanoic acid phenylamide	HDAC2
6-(2-bromo-acetylamino)-hexanoic acid phenylamide	HDAC10
lgd-5552	NR3C1
lgd-5552	NR3C2
lgd-5552	AR
lgd-5552	PGR
pf-4989216	PIK3CG
phosphoric acid mono-((e)-dodec-9-enyl) ester	LPAR1
z-arg-leu-val-agly-val-ala-nh2	CTSK
z-arg-leu-val-agly-val-ala-nh2	CTSB
asiatic acid	PYGM
4'-bromo-3-(imidazolylmethyl)-7-methoxyflavone	CYP19A1
luzindole	MTNR1A
fg-5893	HTR1A
ym44778	TACR2
n-pyridoxyl-glycine-5-monophosphate	ODC1
mevastatin	HMGCR
3-chlorotyrosine	TH
legumain-cleavable doxorubicin prodrugs	LGMN
n-hydroxy-e-3-(biphenyl-4-yl)-acrylamide	HDAC2
aekkdegpyrmehfrwgsppkd	MC1R
aekkdegpyrmehfrwgsppkd	MC4R
aekkdegpyrmehfrwgsppkd	MC3R
lysine-specific demethylase 1 inhibitors	KDM1A
l-869298	PDE4A
l-869298	PDE4D
l-869298	PDE4B
[3h](s)-zacopride	HTR3A
tp003	GABRA5
tp003	GABRA3
tp003	GABRA2
isis 298744	HIF1A
1-propionyl-1h-indole-2,3-dione	CES1
3-(4,5-bis-biphenyl-4-yl-1h-imidazol-2-yl)-phenol	PTPN1
kys-05070	CACNA1G
mk-0773	AR
6-methoxy-5-oxazol-5-yl-2-phenyl-1h-indole	IMPDH2
mppg	GRM7
mppg	GRM6
mppg	GRM8
mppg	GRM4
ucn-01	CHEK1
ablukast	CYSLTR1
heparin low molecular weight	SERPINC1
bupivacaine	SCN10A
mdx-070	FOLH1
clematomandshurica saponin b	PTGS2
11c-gsk-215083	HTR6
cp-870893	CD40LG
isis 105990	PPARG
isis 29234	PDPK1
s-benzyl-glutathione	GLO1
spermidine	TXNRD1
2,7-bis[2-(isopropylamino)acetamido]anthraquinone	TERT
molecule 21	PTGER3
3,3-diethyl-1-phenylazetidine-2,4-dione	ELANE
spermine	CA6
spermine	CA9
spermine	GRIN1
spermine	SMS
spermine	GRIN2A
spermine	CA4
spermine	SMOX
alsterpaullone	CDK1
alsterpaullone	CDK2
zonisamide	SCN4A
zonisamide	CACNA1I
zonisamide	SCN5A
zonisamide	SCN4B
zonisamide	CACNA1H
zonisamide	SCN1B
zonisamide	SCN2A
zonisamide	SCN1A
zonisamide	SCN3A
zonisamide	SCN2B
zonisamide	SCN3B
zonisamide	CACNA1G
zonisamide	SCN11A
zonisamide	SCN9A
ly303336	AGTR1
isosorbide-2-benzylcarbamate-5-pentanoate	BCHE
in-1166	TGFBR1
in-1166	MAPK14
in-1166	MAPK9
4-(3,4-diethoxy-benzylamino)-benzamidine	F2
4-(3,4-diethoxy-benzylamino)-benzamidine	PRSS1
4-(3,4-diethoxy-benzylamino)-benzamidine	F7
4-(biphenyl-3-yl)-5-(piperidin-4-yl)isoxazol-3-ol	GABRA1
4-(biphenyl-3-yl)-5-(piperidin-4-yl)isoxazol-3-ol	GABRG2
4-(biphenyl-3-yl)-5-(piperidin-4-yl)isoxazol-3-ol	GABRB2
ns-257	GABRA1
ns-257	GABRA2
ns-257	GABRB2
idazoxan hydrochloride	ADRA2C
11-heptanoyloxy-n-n-propylnoraporphine	DRD1
11-heptanoyloxy-n-n-propylnoraporphine	HTR2A
l-158809	AGTR2
1-(3-iodophenyl)-2-pyrrolidin-1-yl-pentan-1-one	SLC6A2
1-(3-iodophenyl)-2-pyrrolidin-1-yl-pentan-1-one	SLC6A4
1-(3-iodophenyl)-2-pyrrolidin-1-yl-pentan-1-one	SLC6A3
mor-103	CSF2RA
ptr-3046	SSTR5
n,n'-bis-(4-sec-butyl-phenyl)-guanidine	GRIN2A
n,n'-bis-(4-sec-butyl-phenyl)-guanidine	GRIN1
n,n'-bis-(4-sec-butyl-phenyl)-guanidine	GRIN2B
mdl-18962	CYP19A1
isis 29160	AKT3
ralfinamide	SCN1A
ralfinamide	CACNA1B
pd-143188	DRD2
marinol	CNR1
polynoma-1	MLANA
polynoma-1	TYR
polynoma-1	MAGEA3
tyr-pro-hfe-phe-nh2	OPRM1
diosmetin	CYP1B1
t2328	TACR1
mk-0354	HCAR2
mk-0354	HCAR3
ethyl estrone-16-methylcarboxylate	HSD17B1
tivozanib	KDR
tivozanib	FLT4
tivozanib	FLT1
ap22408	SRC
3-cyano-5-fluoro-n-(3-fluorophenyl)benzamide	GRM5
ym60828	F10
ici 207968	ALOX5
l-phenylalanine	TH
d-phe-cys-tyr--trp-lys-thr-pen-thr-nh2	OPRM1
cochliobolic acid	EGFR
tcn-p	AKT3
dr-4004	HTR7
ohioensin c	PTPN1
rxi-109	CTGF
dichloroally-lawsone	DHODH
fggftgarksarkrwnq	OPRL1
1-(10h-phenothiazin-10-yl)-2-phenylpropan-1-one	BCHE
rg7888	TNFSF4
conjugated estrogens b	ESR1
n-methyl estradiol-16-methyl carboxamide	HSD17B1
(1-phenyl-propyl)-(9-phenyl-9h-purin-6-yl)-amine	ADORA1
avn 211	HTR6
setipiprant	PTGDR2
4-(spiro[chromene-2,4'-piperidine]-4-yl)phenol	OPRK1
4-(spiro[chromene-2,4'-piperidine]-4-yl)phenol	KCNH2
4-(spiro[chromene-2,4'-piperidine]-4-yl)phenol	OPRD1
4-(spiro[chromene-2,4'-piperidine]-4-yl)phenol	OPRM1
7-bromo-2-(4-hydroxy-phenyl)-benzofuran-5-ol	ESR2
7-bromo-2-(4-hydroxy-phenyl)-benzofuran-5-ol	ESR1
pf-04475270	PTGER4
4-methoxyphenyl 1-(4-butoxyphenyl)propylcarbamate	FAAH
deserpidine	SLC18A2
deserpidine	ACE
ly2963016	INS
(r,s)-1-(5-methyl-1h-indol-1-yl)propan-2-amine	HTR2C
(r,s)-1-(5-methyl-1h-indol-1-yl)propan-2-amine	HTR2A
mk-0752	APH1B
mk-0752	PSENEN
mk-0752	APH1A
mk-0752	NCSTN
mk-0752	PSEN1
vu0405601	KCNH2
3-(4-morpholinothieno[3,2-d]pyrimidin-2-yl)phenol	PIK3CG
3-(4-morpholinothieno[3,2-d]pyrimidin-2-yl)phenol	PIK3CB
mrl24	PPARG
agk2	SIRT2
tolbutamide	ABCC8
tolbutamide	ABCC9
rnf43-721	RNF43
[14c]tea	SLC47A2
[14c]tea	SLC47A1
ctap-201	VDR
h-dmt-tic-nh-ch2-indn	OPRD1
h-dmt-tic-nh-ch2-indn	OPRM1
bms-777607	MET
asp-3652	ADRB3
isis 116505	CEBPB
pegamotecan	TOP1
prt6207	SYK
4-fluorophenyl 4-butoxybenzylcarbamate	FAAH
a-224940	MCHR1
ski-2852	HSD11B1
12-dehydroxyriccardin c	NR1H3
12-dehydroxyriccardin c	NR1H2
(r)-pia	ADORA2B
(r)-pia	ADORA3
(r)-pia	ADORA1
pnqx	GABRA1
pnqx	GABRA2
pnqx	GABRB2
pyk2 inhibitors	PTK2B
4-(4-chlorophenyl)-5-(4-methoxyphenyl)isothiazole	PTGS1
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCB
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCD
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCG
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCZ
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCA
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCE
3,3-bis-(4-methoxy-phenyl)-2-phenyl-acrylonitrile	PRKCQ
methsuximide	CACNA1G
l-778123	FNTB
l-778123	FNTA
(s)-2-amino-1-azetidin-1-yl-2-cyclohexyl-ethanone	DPP4
h-gly-dmp-glu-oh	GRIN2A
h-gly-dmp-glu-oh	GRIN1
h-gly-dmp-glu-oh	GRIN2B
3-[5-(4-hydroxyphenyl)-1,3-oxazol-2-yl]phenol	HSD17B1
[3h]l689560	GRIN2C
[3h]l689560	GRIN2A
[3h]l689560	GRIN1
[3h]l689560	GRIN2D
[3h]l689560	GRIN2B
benzenesulfonamide	CA1
c4-mad	IMPDH2
tamoxifen butyl bromide	ESR1
2-benzyl-n1-hydroxy-n3-(4-phenylbutyl)malonamide	ANPEP
cryptenamine acetates	CHRM4
calpastatin	CAPN2
tcv-309	PTAFR
1-methyl-8-phenyl-3,7-dihydro-purine-2,6-dione	ADORA2A
1-methyl-8-phenyl-3,7-dihydro-purine-2,6-dione	ADORA1
nf157	P2RY11
5-(2-m-tolylethynyl)pyrimidine	GRM5
inotuzumab ozogamicin	CD22
amosulalol	ADRB3
amosulalol	ADRA2C
ac-yr[cehdfrwc]-nh2	MC1R
ac-yr[cehdfrwc]-nh2	MC4R
ac-yr[cehdfrwc]-nh2	MC3R
6-benzyloxy-9h-purin-2-ylamine	MGMT
n6-methoxy-2-[(2-pyridinyl)ethynyl]adenosine	ADORA2A
n6-methoxy-2-[(2-pyridinyl)ethynyl]adenosine	ADORA3
n6-methoxy-2-[(2-pyridinyl)ethynyl]adenosine	ADORA1
n8-gp	F8
3-(4-benzyl-piperidin-1-ylmethyl)-chromen-4-one	HTR1A
3-((1h-imidazol-4-yl)methyl)pyridine	HRH3
sifalimumab	IFNAR2
indus-815c	SIRT2
hyg-440	AR
compound 17 (shechter et al., 1996)	FDFT1
nsc-640566	NQO2
(+/-)-threo-n-methyl-30-methylmethylphenidate	SLC6A3
ots167	MELK
l-791943	PDE4A
(2s,3s)-2-phenyl-3,5,5-trimethylmorpholin-2-ol	CHRNA4
(2s,3s)-2-phenyl-3,5,5-trimethylmorpholin-2-ol	SLC6A2
(2s,3s)-2-phenyl-3,5,5-trimethylmorpholin-2-ol	CHRNB2
(2s,3s)-2-phenyl-3,5,5-trimethylmorpholin-2-ol	CHRNB4
(2s,3s)-2-phenyl-3,5,5-trimethylmorpholin-2-ol	SLC6A3
(r)-8-phenyl-n,n-dipropylchroman-3-amine	HTR7
geranylgeranyl diphosphate	FNTB
pranazepide	CCKAR
2-(2-carboxy-5-mercaptopentyl)benzoic acid	FOLH1
mepacrine	PLA2G1B
pirmenol	SCN1A
ro-3201195	MAPK14
2-hydroxyiminoolean-12-en-28-oic acid	PYGM
ucl1684	KCNN3
ucl1684	KCNN2
ucl1684	KCNN1
bwa868c	PTGDR
8-bromo-9-cyclobutyl-9h-adenine	ADORA2A
8-bromo-9-cyclobutyl-9h-adenine	ADORA2B
8-bromo-9-cyclobutyl-9h-adenine	ADORA3
8-bromo-9-cyclobutyl-9h-adenine	ADORA1
3-benzyl-n-(2-morpholinoethyl)quinoxalin-2-amine	MAOA
4-[5-bromo-indan-(1e)-ylidenemethyl]-pyridine	CYP17A1
4-[5-bromo-indan-(1e)-ylidenemethyl]-pyridine	CYP11B1
jaspaquinol	ALOX15
jaspaquinol	ALOX5
isis 9002	ERBB2
sonepcizumab	S1PR1
benzaldehyde o-4-(hexyloxy)phenylcarbamoyl oxime	FAAH
r-1578	GRM2
r-1578	GRM3
ym-202074	GRM1
propan-2-one o-3-butoxyphenylcarbamoyl oxime	FAAH
pf-05175157	ACACB
